NumThreads, Function, Fitness, Np, Nd, lastStep, bestStep, Evals, Position Time, Fitness Time, Velocity Time, Total Time,,,Average Time,,,,,,,,,
1,F2,-96.8173,450,100,3000,2999,1350000,3.21551,5.59339,26.101,34.9202,,,,,,,,,,,,
1,F2,-80.6102,450,100,3000,2542,1350000,3.21907,5.69406,26.17,35.0934,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-61.7119,500,100,3000,1892,1500000,3.57388,5.75107,28.8702,38.2065,,,,,,,,,,,,
1,F2,-85.5817,500,100,3000,2999,1500000,3.56626,6.34946,28.819,38.7461,,,,,,,,,,,,
1,F2,-73.6325,500,100,3000,1290,1500000,3.57282,6.09116,28.8524,38.5277,,,,,,,,,,,,
1,F2,-88.8456,500,100,3000,1559,1500000,3.58309,6.03644,28.8977,38.5286,,,,,,,,,,,,
1,F2,-85.6268,500,100,3000,1546,1500000,3.57084,6.16734,28.9033,38.6529,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-151.79,50,100,3000,2999,150000,0.196785,0.382423,1.55466,2.1362,,,,,,,,,,,,
2,F2,-171.188,50,100,3000,1293,150000,0.186415,0.313417,1.47838,1.97923,,,,,,,,,,,,
2,F2,-140.721,50,100,3000,1304,150000,0.183699,0.314222,1.45226,1.95118,,,,,,,,,,,,
2,F2,-158.867,50,100,3000,1934,150000,0.183669,0.325171,1.45642,1.96627,,,,,,,,,,,,
2,F2,-170.63,50,100,3000,1271,150000,0.183964,0.320037,1.46153,1.96649,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-147.072,100,100,3000,1224,300000,0.363193,0.656686,2.90601,3.92745,,,,,,,,,,,,
2,F2,-146.858,100,100,3000,1635,300000,0.363671,0.642294,2.90771,3.91529,,,,,,,,,,,,
2,F2,-120.794,100,100,3000,1310,300000,0.369067,0.684803,2.94578,4.00129,,,,,,,,,,,,
2,F2,-136.274,100,100,3000,1394,300000,0.366573,0.619316,2.93814,3.92561,,,,,,,,,,,,
2,F2,-145.801,100,100,3000,1507,300000,0.366931,0.629296,2.93202,3.92986,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-99.7824,150,100,3000,2107,450000,0.542496,0.940109,4.39843,5.88321,,,,,,,,,,,,
2,F2,-88.213,150,100,3000,2402,450000,0.542468,0.926999,4.35678,5.82844,,,,,,,,,,,,
2,F2,-143.433,150,100,3000,2999,450000,0.543283,0.961628,4.38532,5.89244,,,,,,,,,,,,
2,F2,-105.936,150,100,3000,2999,450000,0.549462,1.06816,4.41045,6.03032,,,,,,,,,,,,
2,F2,-97.2333,150,100,3000,1636,450000,0.544646,0.952366,4.36926,5.86867,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-96.762,200,100,3000,2982,600000,0.722952,1.29398,5.84643,7.86615,,,,,,,,,,,,
2,F2,-124.368,200,100,3000,1495,600000,0.724001,1.26128,5.8174,7.80546,,,,,,,,,,,,
2,F2,-93.1139,200,100,3000,2160,600000,0.724256,1.29654,5.82049,7.8441,,,,,,,,,,,,
2,F2,-90.7882,200,100,3000,2999,600000,0.729091,1.48397,5.8734,8.08922,,,,,,,,,,,,
2,F2,-119.676,200,100,3000,2999,600000,0.723016,1.38875,5.8508,7.96534,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-91.5792,250,100,3000,2996,750000,0.901943,1.65645,7.26367,9.82553,,,,,,,,,,,,
2,F2,-107.666,250,100,3000,2133,750000,0.907297,1.68441,7.34507,9.94013,,,,,,,,,,,,
2,F2,-139.6,250,100,3000,2999,750000,0.902252,1.75332,7.27956,9.9385,,,,,,,,,,,,
2,F2,-80.3194,250,100,3000,1661,750000,0.905619,1.57227,7.30085,9.78204,,,,,,,,,,,,
2,F2,-86.7269,250,100,3000,1439,750000,0.904632,1.56754,7.24944,9.72495,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-83.6447,300,100,3000,1317,900000,1.07984,1.80341,8.7098,11.5969,,,,,,,,,,,,
2,F2,-96.808,300,100,3000,2999,900000,1.08202,2.00923,8.74935,11.8445,,,,,,,,,,,,
2,F2,-118.494,300,100,3000,2969,900000,1.08993,1.96366,8.80339,11.8608,,,,,,,,,,,,
2,F2,-90.581,300,100,3000,1307,900000,1.08464,1.92416,8.71933,11.7321,,,,,,,,,,,,
2,F2,-101.673,300,100,3000,1928,900000,1.08374,1.91972,8.73637,11.7437,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-115.504,350,100,3000,1327,1050000,1.26095,2.18344,10.1631,13.6119,,,,,,,,,,,,
2,F2,-104.804,350,100,3000,1335,1050000,1.2614,2.22663,10.1667,13.6591,,,,,,,,,,,,
2,F2,-102.494,350,100,3000,2999,1050000,1.2634,2.42792,10.1822,13.8779,,,,,,,,,,,,
2,F2,-103.507,350,100,3000,2999,1050000,1.26567,2.47438,10.1912,13.9356,,,,,,,,,,,,
2,F2,-81.8133,350,100,3000,1434,1050000,1.26623,2.14473,10.189,13.6044,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-76.6337,400,100,3000,2999,1200000,1.46259,2.80421,11.7885,16.0605,,,,,,,,,,,,
2,F2,-99.5231,400,100,3000,1750,1200000,1.4586,2.43958,11.7711,15.6744,,,,,,,,,,,,
2,F2,-75.784,400,100,3000,2052,1200000,1.46517,2.44672,11.811,15.7278,,,,,,,,,,,,
2,F2,-68.714,400,100,3000,2883,1200000,1.45704,2.73968,11.76,15.9617,,,,,,,,,,,,
2,F2,-87.561,400,100,3000,2986,1200000,1.44446,2.7306,11.6569,15.837,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-114.441,450,100,3000,1520,1350000,1.62081,2.88145,13.1188,17.6267,,,,,,,,,,,,
2,F2,-91.0052,450,100,3000,1351,1350000,1.62243,2.95629,13.121,17.7053,,,,,,,,,,,,
2,F2,-84.5919,450,100,3000,2999,1350000,1.62001,3.10067,13.1004,17.8268,,,,,,,,,,,,
2,F2,-97.5149,450,100,3000,1908,1350000,1.62369,2.86706,13.0558,17.5522,,,,,,,,,,,,
2,F2,-95.5431,450,100,3000,1301,1350000,1.61966,2.82677,13.0775,17.5294,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,F2,-92.5321,500,100,3000,2999,1500000,1.81095,3.4049,14.6169,19.839,,,,,,,,,,,,
2,F2,-66.6746,500,100,3000,1435,1500000,1.8025,3.07954,14.566,19.4542,,,,,,,,,,,,
2,F2,-78.347,500,100,3000,2999,1500000,1.81093,3.48158,14.6243,19.923,,,,,,,,,,,,
2,F2,-79.5996,500,100,3000,2999,1500000,1.80461,3.46783,14.6156,19.8943,,,,,,,,,,,,
2,F2,-98.5535,500,100,3000,2999,1500000,1.81025,3.57896,14.6166,20.012,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-134.639,50,100,3000,1327,150000,0.13637,0.242656,1.04608,1.42704,,,,,,,,,,,,
3,F2,-158.67,50,100,3000,1327,150000,0.128389,0.23378,0.985253,1.34852,,,,,,,,,,,,
3,F2,-156.447,50,100,3000,1274,150000,0.128244,0.22414,0.983452,1.33685,,,,,,,,,,,,
3,F2,-143.213,50,100,3000,2999,150000,0.133555,0.272497,1.02859,1.43573,,,,,,,,,,,,
3,F2,-217.892,50,100,3000,2999,150000,0.129676,0.27961,1.00637,1.4167,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-118.697,100,100,3000,2154,300000,0.250255,0.489131,1.97519,2.71611,,,,,,,,,,,,
3,F2,-125.036,100,100,3000,1337,300000,0.249957,0.447975,1.96618,2.6656,,,,,,,,,,,,
3,F2,-112.252,100,100,3000,1242,300000,0.252916,0.451158,1.98923,2.6948,,,,,,,,,,,,
3,F2,-138.969,100,100,3000,1852,300000,0.251017,0.462593,1.97158,2.68666,,,,,,,,,,,,
3,F2,-93.596,100,100,3000,2999,300000,0.250919,0.535729,1.9796,2.76777,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-114.131,150,100,3000,1246,450000,0.377952,0.683142,2.9902,4.05312,,,,,,,,,,,,
3,F2,-117.297,150,100,3000,1214,450000,0.375636,0.680459,2.96557,4.02363,,,,,,,,,,,,
3,F2,-117.314,150,100,3000,1205,450000,0.369611,0.666803,2.92399,3.96228,,,,,,,,,,,,
3,F2,-93.1043,150,100,3000,2999,450000,0.372355,0.780813,2.95351,4.10844,,,,,,,,,,,,
3,F2,-127.665,150,100,3000,2996,450000,0.370941,0.681688,2.94216,3.99662,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-75.9314,200,100,3000,2999,600000,0.496326,1.06954,3.93796,5.50602,,,,,,,,,,,,
3,F2,-90.23,200,100,3000,1778,600000,0.494402,0.88076,3.93095,5.30841,,,,,,,,,,,,
3,F2,-93.0074,200,100,3000,1266,600000,0.493683,0.885998,3.9247,5.30665,,,,,,,,,,,,
3,F2,-98.44,200,100,3000,2999,600000,0.493935,0.910539,3.90604,5.31293,,,,,,,,,,,,
3,F2,-101.286,200,100,3000,2999,600000,0.496004,1.05708,3.94309,5.49839,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-118.872,250,100,3000,1237,750000,0.616399,1.09506,4.91815,6.63253,,,,,,,,,,,,
3,F2,-90.0526,250,100,3000,2999,750000,0.628935,1.34018,5.00643,6.97833,,,,,,,,,,,,
3,F2,-89.8994,250,100,3000,1294,750000,0.639406,1.13736,5.15222,6.93155,,,,,,,,,,,,
3,F2,-91.264,250,100,3000,1265,750000,0.639441,1.12908,5.13936,6.91041,,,,,,,,,,,,
3,F2,-87.1411,250,100,3000,2999,750000,0.639552,1.25564,5.16276,7.06047,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-101.574,300,100,3000,2999,900000,0.767995,1.51439,6.1761,8.46139,,,,,,,,,,,,
3,F2,-100.541,300,100,3000,2999,900000,0.771881,1.48441,6.25272,8.51198,,,,,,,,,,,,
3,F2,-80.6464,300,100,3000,2129,900000,0.772729,1.48089,6.25394,8.51048,,,,,,,,,,,,
3,F2,-111.512,300,100,3000,2999,900000,0.770972,1.55373,6.20844,8.53616,,,,,,,,,,,,
3,F2,-92.5914,300,100,3000,2999,900000,0.771656,1.52443,6.21811,8.51721,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-105.511,350,100,3000,2999,1050000,0.89803,1.82126,7.26513,9.98777,,,,,,,,,,,,
3,F2,-80.8109,350,100,3000,2999,1050000,0.899217,1.755,7.23365,9.89115,,,,,,,,,,,,
3,F2,-78.9276,350,100,3000,1815,1050000,0.89712,1.52862,7.28364,9.71261,,,,,,,,,,,,
3,F2,-72.7457,350,100,3000,2999,1050000,0.895635,1.76268,7.20862,9.87024,,,,,,,,,,,,
3,F2,-91.4358,350,100,3000,2999,1050000,0.896066,1.76536,7.19722,9.86191,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-70.6862,400,100,3000,1572,1200000,1.02536,1.71094,8.23556,10.9756,,,,,,,,,,,,
3,F2,-91.6014,400,100,3000,2999,1200000,1.02358,2.05491,8.23821,11.3204,,,,,,,,,,,,
3,F2,-97.5632,400,100,3000,1407,1200000,1.02519,1.73042,8.229,10.9883,,,,,,,,,,,,
3,F2,-76.6181,400,100,3000,1588,1200000,1.02771,1.77053,8.29198,11.094,,,,,,,,,,,,
3,F2,-100.006,400,100,3000,1524,1200000,1.02756,1.77669,8.32986,11.1378,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-81.5914,450,100,3000,2999,1350000,1.15342,2.27955,9.30395,12.7409,,,,,,,,,,,,
3,F2,-77.75,450,100,3000,2999,1350000,1.151,2.28555,9.28771,12.7283,,,,,,,,,,,,
3,F2,-103.586,450,100,3000,2999,1350000,1.14969,2.34465,9.28025,12.7786,,,,,,,,,,,,
3,F2,-96.5518,450,100,3000,2999,1350000,1.14885,2.05265,9.26361,12.4692,,,,,,,,,,,,
3,F2,-91.5599,450,100,3000,2291,1350000,1.15559,2.078,9.32981,12.5675,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,F2,-93.595,500,100,3000,2999,1500000,1.27963,2.57928,10.3376,14.2013,,,,,,,,,,,,
3,F2,-75.7065,500,100,3000,2999,1500000,1.28388,2.50691,10.3865,14.1819,,,,,,,,,,,,
3,F2,-93.7194,500,100,3000,1577,1500000,1.30664,2.26891,10.5164,14.0966,,,,,,,,,,,,
3,F2,-87.5583,500,100,3000,2280,1500000,1.28132,2.35867,10.3663,14.011,,,,,,,,,,,,
3,F2,-87.6245,500,100,3000,2999,1500000,1.29774,2.31629,10.4692,14.0878,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-134.025,50,100,3000,1579,150000,0.115089,0.21116,0.867835,1.19566,,,,,,,,,,,,
4,F2,-183.784,50,100,3000,2960,150000,0.104669,0.207931,0.787191,1.10078,,,,,,,,,,,,
4,F2,-166.693,50,100,3000,2999,150000,0.103411,0.235142,0.786097,1.12559,,,,,,,,,,,,
4,F2,-153.683,50,100,3000,2914,150000,0.10362,0.212883,0.7833,1.10079,,,,,,,,,,,,
4,F2,-162.68,50,100,3000,1229,150000,0.103599,0.189251,0.78059,1.07439,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,F2,-143.006,100,100,3000,1207,300000,0.200715,0.353096,1.55066,2.1057,,,,,,,,,,,,
